timestamps,open,high,low,close,volume,amount
2025-09-30 23:00:00,113940.4,114048.94,113765.42,114048.93,268.4376,30575134.9279098
2025-10-01 00:00:00,114048.94,114308.0,113966.67,114239.53,434.59016,49594240.0731943
2025-10-01 01:00:00,114239.53,114550.0,114142.99,114549.99,597.2536,68303620.3235774
2025-10-01 02:00:00,114549.99,114551.76,114272.15,114272.15,508.42422,58162291.0893912
2025-10-01 03:00:00,114272.16,114530.48,114096.58,114176.92,502.30318,57439454.5630595
2025-10-01 04:00:00,114176.93,114700.0,114151.0,114289.01,597.89328,68450188.1540999
2025-10-01 05:00:00,114289.02,114740.0,114265.63,114569.84,559.75519,64124659.6933922
2025-10-01 06:00:00,114569.84,114624.3,114224.88,114256.81,392.52281,44916642.8083633
2025-10-01 07:00:00,114256.82,114584.35,114236.59,114539.02,446.26236,51092849.860114
2025-10-01 08:00:00,114539.02,116591.8,114484.43,116111.28,2944.06599,340128147.0721095
2025-10-01 09:00:00,116111.27,116529.93,115950.0,116412.1,1081.73774,125799851.5975721
2025-10-01 10:00:00,116412.1,116551.0,116203.5,116281.64,549.64831,63947805.5689203
2025-10-01 11:00:00,116281.64,116795.85,116269.0,116789.58,642.47832,74876107.0517808
2025-10-01 12:00:00,116789.57,116887.0,116363.38,116402.65,645.19981,75238003.7814478
2025-10-01 13:00:00,116402.65,116843.73,116399.5,116806.96,1233.59755,143777721.5122387
2025-10-01 14:00:00,116806.96,117441.26,116704.74,117292.74,1631.53193,191156186.9745912
2025-10-01 15:00:00,117292.73,117649.99,117091.84,117423.73,1008.01671,118324059.3140633
2025-10-01 16:00:00,117423.73,118199.0,117319.04,117535.79,1840.40868,216862234.5104254
2025-10-01 17:00:00,117535.79,117681.27,116724.56,116768.07,962.36022,112811627.6204674
2025-10-01 18:00:00,116768.08,117339.09,116768.07,117234.01,528.26692,61823115.9523376
2025-10-01 19:00:00,117234.01,117623.59,117214.8,117439.53,483.28734,56758911.8500984
2025-10-01 20:00:00,117439.53,117542.24,117163.25,117536.12,412.83403,48447082.8962655
2025-10-01 21:00:00,117536.13,117579.43,117339.54,117554.96,278.91184,32763168.0821829
2025-10-01 22:00:00,117554.95,118080.0,117554.95,117745.39,593.82096,69964906.4765099
2025-10-01 23:00:00,117745.39,118649.1,117686.28,118594.99,1161.22401,137334104.4397309
2025-10-02 00:00:00,118594.99,119456.92,118397.32,118428.46,2212.72285,263209563.0859899
2025-10-02 01:00:00,118428.46,118894.12,118368.05,118617.37,734.6179,87155016.7299829
2025-10-02 02:00:00,118617.37,118784.87,118483.39,118753.73,644.14993,76423180.9259479
2025-10-02 03:00:00,118753.73,119058.82,118688.61,118733.99,595.85707,70840036.3724579
2025-10-02 04:00:00,118733.99,118930.29,118432.64,118662.04,410.46135,48707810.8174789
2025-10-02 05:00:00,118662.04,118677.32,118279.31,118377.34,484.81157,57448377.1507893
2025-10-02 06:00:00,118377.34,118672.34,118295.87,118649.06,380.89847,45142658.001752
2025-10-02 07:00:00,118649.07,118678.98,118424.0,118489.76,496.19299,58808332.0458268
2025-10-02 08:00:00,118489.76,118680.0,118354.61,118668.89,309.01675,36633548.2169218
2025-10-02 09:00:00,118668.89,118850.0,118567.0,118849.99,343.02582,40708995.2536833
2025-10-02 10:00:00,118849.99,118926.49,118567.85,118619.56,393.64914,46733673.1058153
2025-10-02 11:00:00,118619.55,118900.01,118537.1,118765.73,414.31674,49187455.4976432
2025-10-02 12:00:00,118765.72,119402.43,118742.91,119402.42,924.16679,110103601.7687897
2025-10-02 13:00:00,119402.43,119761.36,118933.25,119621.2,1531.32643,182884840.7278462
2025-10-02 14:00:00,119621.19,119788.0,118642.2,118814.09,1237.9215,147646384.0266243
2025-10-02 15:00:00,118814.09,119910.79,118516.39,119910.78,1405.75154,167792583.3826131
2025-10-02 16:00:00,119910.78,120300.0,119607.82,119731.4,1570.77716,188502265.5234169
2025-10-02 17:00:00,119731.4,119956.84,119359.63,119917.52,625.48952,74812103.5031814
2025-10-02 18:00:00,119917.52,120663.96,119907.01,120506.61,1340.0858,161080934.6767098
2025-10-02 19:00:00,120506.6,121022.07,120439.97,120836.49,1332.75893,161017170.0424305
2025-10-02 20:00:00,120836.49,120914.0,120306.02,120652.01,833.01817,100490916.9493622
2025-10-02 21:00:00,120652.01,120774.97,120141.72,120150.1,546.60875,65815115.6502419
2025-10-02 22:00:00,120150.1,120412.24,120072.46,120257.49,379.08266,45582738.5806376
2025-10-02 23:00:00,120257.49,120680.35,120251.81,120529.35,524.1272,63133825.3084377
2025-10-03 00:00:00,120529.35,120550.9,120079.0,120132.8,776.43359,93411749.667273
2025-10-03 01:00:00,120132.8,120293.68,119820.0,119875.72,537.61051,64556502.0949762
2025-10-03 02:00:00,119875.72,120269.11,119866.18,120157.82,451.19476,54171471.9355411
2025-10-03 03:00:00,120157.82,120472.12,120157.82,120225.89,503.41637,60571180.5817731
